,Product Name,Price,Description,Ratings
210,Voltas Beko 8.5 kg Semi Automatic Top Load Blue,"₹12,938",1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 3 Years on Motor,4.4
211,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.2
212,"Godrej 7 kg Semi Automatic Top Load Grey, White","₹10,290",1440 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,4.281887594972325
213,Haier 8.5 kg 5 Star Anti-Bacterial Vortex Pulsator Semi Automatic Top Load Multicolor,"₹12,690","1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Wash & Spin Motor from Haier",4.281887594972325
214,SAMSUNG 6.5 kg Diamond Drum feature Fully Automatic Top Load Silver,"₹14,790","680 rpm Max Speed3 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.281887594972325
215,Whirlpool 7.5 kg Fully Automatic Top Load Grey,"₹23,333",740 rpm Max Speed2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Whirlpool,4.281887594972325
216,Panasonic 6 kg 5 Star AquaBeat Wash Fully Automatic Top Load Grey,"₹13,990",680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic,4.3
217,"Whirlpool 7.5 kg 5 Star, Supersoak Technology Semi Automatic Top Load Red","₹12,100",1450 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover from Whirlpool,4.4
218,Godrej 6.2 kg with i-wash Technology Washing Machine Fully Automatic Top Load Grey,"₹12,890",700 rpm Max Speed2 Years Warranty on Entire Product and 10 Years on Motor,4.2
219,Equator 8 kg Fully Automatic Top Load Beige,"₹19,990",800 RPM Max Speed2 Star Rating2 Years Warranty on Parts and Labour from Equator,4.3
220,"MarQ by Flipkart 9 kg 5 Star, Glass Lid Semi Automatic Top Load White, Blue","₹10,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart,4.4
